mV,mV,mV,mV,mV
-2.970329281,-1.970329281,-0.970329281,0.029670719,1.029670719
-3.121784702,-2.121784702,-1.121784702,-0.121784702,0.878215298
-3.146306055,-2.146306055,-1.146306055,-0.146306055,0.853693945
-3.14342119,-2.14342119,-1.14342119,-0.14342119,0.85657881
-3.167942544,-2.167942544,-1.167942544,-0.167942544,0.832057456
-3.197512412,-2.197512412,-1.197512412,-0.197512412,0.802487588
-3.182727478,-2.182727478,-1.182727478,-0.182727478,0.817272522
-3.160009165,-2.160009165,-1.160009165,-0.160009165,0.839990835
-3.044253951,-2.044253951,-1.044253951,-0.044253951,0.955746049
-3.001341582,-2.001341582,-1.001341582,-0.001341582,0.998658418
-2.92200779,-1.92200779,-0.92200779,0.07799221,1.07799221
-2.8870288,-1.8870288,-0.8870288,0.1129712,1.1129712
-2.8870288,-1.8870288,-0.8870288,0.1129712,1.1129712
-2.8870288,-1.8870288,-0.8870288,0.1129712,1.1129712
-2.8870288,-1.8870288,-0.8870288,0.1129712,1.1129712
-2.8870288,-1.8870288,-0.8870288,0.1129712,1.1129712
-2.774158451,-1.774158451,-0.774158451,0.225841549,1.225841549
-2.779206965,-1.779206965,-0.779206965,0.220793035,1.220793035
-2.930301777,-1.930301777,-0.930301777,0.069698223,1.069698223
-2.960232253,-1.960232253,-0.960232253,0.039767747,1.039767747
-2.955183739,-1.955183739,-0.955183739,0.044816261,1.044816261
-3.04822064,-2.04822064,-1.04822064,-0.04822064,0.95177936
-3.04822064,-2.04822064,-1.04822064,-0.04822064,0.95177936
-3.151354569,-2.151354569,-1.151354569,-0.151354569,0.848645431
-3.144503015,-2.144503015,-1.144503015,-0.144503015,0.855496985
-3.183448694,-2.183448694,-1.183448694,-0.183448694,0.816551306
-3.203282142,-2.203282142,-1.203282142,-0.203282142,0.796717858
-3.203282142,-2.203282142,-1.203282142,-0.203282142,0.796717858
-3.203282142,-2.203282142,-1.203282142,-0.203282142,0.796717858
-3.203282142,-2.203282142,-1.203282142,-0.203282142,0.796717858
-3.203282142,-2.203282142,-1.203282142,-0.203282142,0.796717858
-2.87332569,-1.87332569,-0.87332569,0.12667431,1.12667431
-2.823201158,-1.823201158,-0.823201158,0.176798842,1.176798842
-2.81130109,-1.81130109,-0.81130109,0.18869891,1.18869891
-2.808416225,-1.808416225,-0.808416225,0.191583775,1.191583775
-2.778846357,-1.778846357,-0.778846357,0.221153643,1.221153643
-2.769470545,-1.769470545,-0.769470545,0.230529455,1.230529455
-2.769470545,-1.769470545,-0.769470545,0.230529455,1.230529455
-2.769470545,-1.769470545,-0.769470545,0.230529455,1.230529455
-2.923450222,-1.923450222,-0.923450222,0.076549778,1.076549778
-2.940759413,-1.940759413,-0.940759413,0.059240587,1.059240587
-3.033075098,-2.033075098,-1.033075098,-0.033075098,0.966924902
-3.10663916,-2.10663916,-1.10663916,-0.10663916,0.89336084
-3.140175717,-2.140175717,-1.140175717,-0.140175717,0.859824283
-3.140175717,-2.140175717,-1.140175717,-0.140175717,0.859824283
-3.140175717,-2.140175717,-1.140175717,-0.140175717,0.859824283
-3.188497208,-2.188497208,-1.188497208,-0.188497208,0.811502792
-3.184530519,-2.184530519,-1.184530519,-0.184530519,0.815469481
-3.09690274,-2.09690274,-1.09690274,-0.09690274,0.90309726
-3.033435706,-2.033435706,-1.033435706,-0.033435706,0.966564294
-3.009635569,-2.009635569,-1.009635569,-0.009635569,0.990364431
-2.929941169,-1.929941169,-0.929941169,0.070058831,1.070058831
-2.894601571,-1.894601571,-0.894601571,0.105398429,1.105398429
-2.825004199,-1.825004199,-0.825004199,0.174995801,1.174995801
-2.825004199,-1.825004199,-0.825004199,0.174995801,1.174995801
-2.806252576,-1.806252576,-0.806252576,0.193747424,1.193747424
-2.799401021,-1.799401021,-0.799401021,0.200598979,1.200598979
-2.799401021,-1.799401021,-0.799401021,0.200598979,1.200598979
-2.825004199,-1.825004199,-0.825004199,0.174995801,1.174995801
-2.94328367,-1.94328367,-0.94328367,0.05671633,1.05671633
-2.94328367,-1.94328367,-0.94328367,0.05671633,1.05671633
-2.980786917,-1.980786917,-0.980786917,0.019213083,1.019213083
-3.060481317,-2.060481317,-1.060481317,-0.060481317,0.939518683
-3.140175717,-2.140175717,-1.140175717,-0.140175717,0.859824283
-3.140175717,-2.140175717,-1.140175717,-0.140175717,0.859824283
-3.175875923,-2.175875923,-1.175875923,-0.175875923,0.824124077
-3.175875923,-2.175875923,-1.175875923,-0.175875923,0.824124077
-3.175875923,-2.175875923,-1.175875923,-0.175875923,0.824124077
-3.175875923,-2.175875923,-1.175875923,-0.175875923,0.824124077
-3.175875923,-2.175875923,-1.175875923,-0.175875923,0.824124077
-3.051826722,-2.051826722,-1.051826722,-0.051826722,0.948173278
-3.046056991,-2.046056991,-1.046056991,-0.046056991,0.953943009
-2.963477726,-1.963477726,-0.963477726,0.036522274,1.036522274
-2.85204981,-1.85204981,-0.85204981,0.14795019,1.14795019
-2.848443728,-1.848443728,-0.848443728,0.151556272,1.151556272
-2.830052713,-1.830052713,-0.830052713,0.169947287,1.169947287
-2.832216362,-1.832216362,-0.832216362,0.167783638,1.167783638
-2.804449535,-1.804449535,-0.804449535,0.195550465,1.195550465
-2.788943385,-1.788943385,-0.788943385,0.211056615,1.211056615
-2.815628387,-1.815628387,-0.815628387,0.184371613,1.184371613
-2.956265564,-1.956265564,-0.956265564,0.043734436,1.043734436
-2.976099011,-1.976099011,-0.976099011,0.023900989,1.023900989
-3.043532734,-2.043532734,-1.043532734,-0.043532734,0.956467266
-3.092575442,-2.092575442,-1.092575442,-0.092575442,0.907424558
-3.139815109,-2.139815109,-1.139815109,-0.139815109,0.860184891
-3.170827409,-2.170827409,-1.170827409,-0.170827409,0.829172591
-3.16686072,-2.16686072,-1.16686072,-0.16686072,0.83313928
-3.201479101,-2.201479101,-1.201479101,-0.201479101,0.798520899
-3.184891127,-2.184891127,-1.184891127,-0.184891127,0.815108873
-3.114933147,-2.114933147,-1.114933147,-0.114933147,0.885066853
-3.047138816,-2.047138816,-1.047138816,-0.047138816,0.952861184
-3.047138816,-2.047138816,-1.047138816,-0.047138816,0.952861184
-3.047138816,-2.047138816,-1.047138816,-0.047138816,0.952861184
-3.047138816,-2.047138816,-1.047138816,-0.047138816,0.952861184
-2.814907171,-1.814907171,-0.814907171,0.185092829,1.185092829
-2.816710212,-1.816710212,-0.816710212,0.183289788,1.183289788
-2.794713115,-1.794713115,-0.794713115,0.205286885,1.205286885
-2.783173654,-1.783173654,-0.783173654,0.216826346,1.216826346
-2.783173654,-1.783173654,-0.783173654,0.216826346,1.216826346
-2.783173654,-1.783173654,-0.783173654,0.216826346,1.216826346
-2.783173654,-1.783173654,-0.783173654,0.216826346,1.216826346
-2.783173654,-1.783173654,-0.783173654,0.216826346,1.216826346
-2.972853538,-1.972853538,-0.972853538,0.027146462,1.027146462
-3.083560238,-2.083560238,-1.083560238,-0.083560238,0.916439762
-3.149912137,-2.149912137,-1.149912137,-0.149912137,0.850087863
-3.162172814,-2.162172814,-1.162172814,-0.162172814,0.837827186
-3.162172814,-2.162172814,-1.162172814,-0.162172814,0.837827186
-3.18236687,-2.18236687,-1.18236687,-0.18236687,0.81763313
-3.222033766,-2.222033766,-1.222033766,-0.222033766,0.777966234
-3.222033766,-2.222033766,-1.222033766,-0.222033766,0.777966234
-3.126472607,-2.126472607,-1.126472607,-0.126472607,0.873527393
-3.025502327,-2.025502327,-1.025502327,-0.025502327,0.974497673
-3.02297807,-2.02297807,-1.02297807,-0.02297807,0.97702193
-2.90253495,-1.90253495,-0.90253495,0.09746505,1.09746505
-2.856737716,-1.856737716,-0.856737716,0.143262284,1.143262284
-2.8383467,-1.8383467,-0.8383467,0.1616533,1.1616533
-2.831495146,-1.831495146,-0.831495146,0.168504854,1.168504854
-2.77235541,-1.77235541,-0.77235541,0.22764459,1.22764459
-2.80156467,-1.80156467,-0.80156467,0.19843533,1.19843533
-2.873686299,-1.873686299,-0.873686299,0.126313701,1.126313701
-2.949053401,-1.949053401,-0.949053401,0.050946599,1.050946599
-2.970689889,-1.970689889,-0.970689889,0.029310111,1.029310111
-3.04245091,-2.04245091,-1.04245091,-0.04245091,0.95754909
-3.04245091,-2.04245091,-1.04245091,-0.04245091,0.95754909
-3.146306055,-2.146306055,-1.146306055,-0.146306055,0.853693945
-3.161090989,-2.161090989,-1.161090989,-0.161090989,0.838909011
-3.183448694,-2.183448694,-1.183448694,-0.183448694,0.816551306
-3.183448694,-2.183448694,-1.183448694,-0.183448694,0.816551306
-3.182727478,-2.182727478,-1.182727478,-0.182727478,0.817272522
-3.153518218,-2.153518218,-1.153518218,-0.153518218,0.846481782
-3.153518218,-2.153518218,-1.153518218,-0.153518218,0.846481782
-2.99196577,-1.99196577,-0.99196577,0.00803423,1.00803423
-2.935710899,-1.935710899,-0.935710899,0.064289101,1.064289101
-2.935710899,-1.935710899,-0.935710899,0.064289101,1.064289101
-2.935710899,-1.935710899,-0.935710899,0.064289101,1.064289101
-2.935710899,-1.935710899,-0.935710899,0.064289101,1.064289101
-2.935710899,-1.935710899,-0.935710899,0.064289101,1.064289101
-2.935710899,-1.935710899,-0.935710899,0.064289101,1.064289101
-2.935710899,-1.935710899,-0.935710899,0.064289101,1.064289101
-2.77235541,-1.77235541,-0.77235541,0.22764459,1.22764459
-2.850607377,-1.850607377,-0.850607377,0.149392623,1.149392623
-2.850607377,-1.850607377,-0.850607377,0.149392623,1.149392623
-2.985114215,-1.985114215,-0.985114215,0.014885785,1.014885785
-3.074184427,-2.074184427,-1.074184427,-0.074184427,0.925815573
-3.111687674,-2.111687674,-1.111687674,-0.111687674,0.888312326
-3.147748488,-2.147748488,-1.147748488,-0.147748488,0.852251512
-3.16289403,-2.16289403,-1.16289403,-0.16289403,0.83710597
-3.194266938,-2.194266938,-1.194266938,-0.194266938,0.805733062
-3.212297346,-2.212297346,-1.212297346,-0.212297346,0.787702654
-3.061563142,-2.061563142,-1.061563142,-0.061563142,0.938436858
-3.03668118,-2.03668118,-1.03668118,-0.03668118,0.96331882
-3.019371989,-2.019371989,-1.019371989,-0.019371989,0.980628011
-2.959150429,-1.959150429,-0.959150429,0.040849571,1.040849571
-2.86755596,-1.86755596,-0.86755596,0.13244404,1.13244404
-2.847361904,-1.847361904,-0.847361904,0.152638096,1.152638096
-2.833658795,-1.833658795,-0.833658795,0.166341205,1.166341205
-2.790025209,-1.790025209,-0.790025209,0.209974791,1.209974791
-2.783173654,-1.783173654,-0.783173654,0.216826346,1.216826346
-2.799761629,-1.799761629,-0.799761629,0.200238371,1.200238371
-2.823922375,-1.823922375,-0.823922375,0.176077625,1.176077625
-2.93751394,-1.93751394,-0.93751394,0.06248606,1.06248606
-2.964920159,-1.964920159,-0.964920159,0.035079841,1.035079841
-2.989080905,-1.989080905,-0.989080905,0.010919095,1.010919095
-3.127554432,-2.127554432,-1.127554432,-0.127554432,0.872445568
-3.127554432,-2.127554432,-1.127554432,-0.127554432,0.872445568
-3.16686072,-2.16686072,-1.16686072,-0.16686072,0.83313928
-3.167581936,-2.167581936,-1.167581936,-0.167581936,0.832418064
-3.167581936,-2.167581936,-1.167581936,-0.167581936,0.832418064
-3.167581936,-2.167581936,-1.167581936,-0.167581936,0.832418064
-3.092575442,-2.092575442,-1.092575442,-0.092575442,0.907424558
-3.008193136,-2.008193136,-1.008193136,-0.008193136,0.991806864
-3.004226447,-2.004226447,-1.004226447,-0.004226447,0.995773553
-2.954462523,-1.954462523,-0.954462523,0.045537477,1.045537477
-2.954462523,-1.954462523,-0.954462523,0.045537477,1.045537477
-2.954462523,-1.954462523,-0.954462523,0.045537477,1.045537477
-2.954462523,-1.954462523,-0.954462523,0.045537477,1.045537477
-2.705282295,-1.705282295,-0.705282295,0.294717705,1.294717705
-2.673909387,-1.673909387,-0.673909387,0.326090613,1.326090613
-2.666336616,-1.666336616,-0.666336616,0.333663384,1.333663384
-2.698430741,-1.698430741,-0.698430741,0.301569259,1.301569259
-2.698430741,-1.698430741,-0.698430741,0.301569259,1.301569259
-2.698430741,-1.698430741,-0.698430741,0.301569259,1.301569259
-2.698430741,-1.698430741,-0.698430741,0.301569259,1.301569259
-2.879456029,-1.879456029,-0.879456029,0.120543971,1.120543971
-2.960232253,-1.960232253,-0.960232253,0.039767747,1.039767747
-3.005308271,-2.005308271,-1.005308271,-0.005308271,0.994691729
-3.004947663,-2.004947663,-1.004947663,-0.004947663,0.995052337
-3.0287478,-2.0287478,-1.0287478,-0.0287478,0.9712522
-3.0287478,-2.0287478,-1.0287478,-0.0287478,0.9712522
-3.0287478,-2.0287478,-1.0287478,-0.0287478,0.9712522
-2.921647182,-1.921647182,-0.921647182,0.078352818,1.078352818
-2.882701502,-1.882701502,-0.882701502,0.117298498,1.117298498
-2.884865151,-1.884865151,-0.884865151,0.115134849,1.115134849
-2.815628387,-1.815628387,-0.815628387,0.184371613,1.184371613
-2.779567573,-1.779567573,-0.779567573,0.220432427,1.220432427
-2.781370614,-1.781370614,-0.781370614,0.218629386,1.218629386
-2.796876764,-1.796876764,-0.796876764,0.203123236,1.203123236
-2.799761629,-1.799761629,-0.799761629,0.200238371,1.200238371
-2.822119334,-1.822119334,-0.822119334,0.177880666,1.177880666
-2.832216362,-1.832216362,-0.832216362,0.167783638,1.167783638
-2.94328367,-1.94328367,-0.94328367,0.05671633,1.05671633
-3.063366182,-2.063366182,-1.063366182,-0.063366182,0.936633818
-3.109163417,-2.109163417,-1.109163417,-0.109163417,0.890836583
-3.194266938,-2.194266938,-1.194266938,-0.194266938,0.805733062
-3.253406674,-2.253406674,-1.253406674,-0.253406674,0.746593326
-3.253406674,-2.253406674,-1.253406674,-0.253406674,0.746593326
-3.391158985,-2.391158985,-1.391158985,-0.391158985,0.608841015
-3.400174189,-2.400174189,-1.400174189,-0.400174189,0.599825811
-3.444168382,-2.444168382,-1.444168382,-0.444168382,0.555831618
-3.444168382,-2.444168382,-1.444168382,-0.444168382,0.555831618
-3.444168382,-2.444168382,-1.444168382,-0.444168382,0.555831618
-3.444168382,-2.444168382,-1.444168382,-0.444168382,0.555831618
-3.292712962,-2.292712962,-1.292712962,-0.292712962,0.707287038
-3.292712962,-2.292712962,-1.292712962,-0.292712962,0.707287038
-3.09293605,-2.09293605,-1.09293605,-0.09293605,0.90706395
-3.09293605,-2.09293605,-1.09293605,-0.09293605,0.90706395
-3.060120709,-2.060120709,-1.060120709,-0.060120709,0.939879291
-3.060120709,-2.060120709,-1.060120709,-0.060120709,0.939879291
-3.060120709,-2.060120709,-1.060120709,-0.060120709,0.939879291
-3.060120709,-2.060120709,-1.060120709,-0.060120709,0.939879291
-3.060120709,-2.060120709,-1.060120709,-0.060120709,0.939879291
-3.060120709,-2.060120709,-1.060120709,-0.060120709,0.939879291
-3.066251047,-2.066251047,-1.066251047,-0.066251047,0.933748953
-3.061202533,-2.061202533,-1.061202533,-0.061202533,0.938797467
-3.118539228,-2.118539228,-1.118539228,-0.118539228,0.881460772
-3.211576129,-2.211576129,-1.211576129,-0.211576129,0.788423871
-3.230327753,-2.230327753,-1.230327753,-0.230327753,0.769672247
-3.224918631,-2.224918631,-1.224918631,-0.224918631,0.775081369
-3.233573226,-2.233573226,-1.233573226,-0.233573226,0.766426774
-3.257012756,-2.257012756,-1.257012756,-0.257012756,0.742987244
-3.263503702,-2.263503702,-1.263503702,-0.263503702,0.736496298
-3.144142406,-2.144142406,-1.144142406,-0.144142406,0.855857594
-3.093657266,-2.093657266,-1.093657266,-0.093657266,0.906342734
-3.078511724,-2.078511724,-1.078511724,-0.078511724,0.921488276
-2.975017187,-1.975017187,-0.975017187,0.024982813,1.024982813
-2.93174421,-1.93174421,-0.93174421,0.06825579,1.06825579
-2.925613871,-1.925613871,-0.925613871,0.074386129,1.074386129
-2.900731909,-1.900731909,-0.900731909,0.099268091,1.099268091
-2.861425622,-1.861425622,-0.861425622,0.138574378,1.138574378
-2.859622581,-1.859622581,-0.859622581,0.140377419,1.140377419
-2.859622581,-1.859622581,-0.859622581,0.140377419,1.140377419
-2.859622581,-1.859622581,-0.859622581,0.140377419,1.140377419
-2.859622581,-1.859622581,-0.859622581,0.140377419,1.140377419
-2.859622581,-1.859622581,-0.859622581,0.140377419,1.140377419
-3.055432803,-2.055432803,-1.055432803,-0.055432803,0.944567197
-3.183448694,-2.183448694,-1.183448694,-0.183448694,0.816551306
-3.185972951,-2.185972951,-1.185972951,-0.185972951,0.814027049
-3.201479101,-2.201479101,-1.201479101,-0.201479101,0.798520899
-3.241506605,-2.241506605,-1.241506605,-0.241506605,0.758493395
