mV,m/(s^2),m/(s^2),m/(s^2),kOhms,BPM,yyyy/mm/dd hh:mm:ss.000
1652.014652,6.108433735,-0.192771084,7.686746988,1258.901694,-1,51:15.6
1718.681319,6.180722892,-0.21686747,7.698795181,1259.624476,-1,51:15.7
1781.684982,6.204819277,-0.228915663,7.698795181,1258.901694,-1,51:15.7
1834.432234,6.156626506,-0.228915663,7.734939759,1259.624476,-1,51:15.7
1879.85348,6.120481928,-0.228915663,7.698795181,1259.624476,-1,51:15.7
1910.622711,6.13253012,-0.240963855,7.795180723,1259.624476,-1,51:15.7
1933.333333,6.192771084,-0.204819277,7.734939759,1259.624476,-1,51:15.7
1945.054945,6.180722892,-0.192771084,7.722891566,1259.624476,-1,51:15.7
1950.18315,6.156626506,-0.168674699,7.734939759,1258.901694,-1,51:15.7
1949.450549,6.168674699,-0.204819277,7.698795181,1259.624476,-1,51:15.7
1941.391941,6.156626506,-0.253012048,7.710843373,1258.901694,-1,51:15.7
1931.135531,6.168674699,-0.253012048,7.722891566,1258.901694,-1,51:15.7
1917.216117,6.120481928,-0.253012048,7.722891566,1258.901694,-1,51:15.7
1898.901099,6.084337349,-0.253012048,7.734939759,1259.624476,-1,51:15.8
1878.388278,6.13253012,-0.228915663,7.734939759,1259.624476,-1,51:15.8
1856.410256,6.192771084,-0.21686747,7.734939759,1259.624476,-1,51:15.8
1830.769231,6.21686747,-0.21686747,7.759036145,1258.901694,-1,51:15.8
1801.465201,6.180722892,-0.21686747,7.722891566,1259.624476,-1,51:15.8
1771.428571,6.13253012,-0.21686747,7.746987952,1259.624476,-1,51:15.8
1742.124542,6.096385542,-0.21686747,7.734939759,1259.624476,-1,51:15.8
1714.285714,6.096385542,-0.228915663,7.734939759,1259.624476,-1,51:15.8
1687.912088,6.120481928,-0.253012048,7.734939759,1259.624476,-1,51:15.8
1665.934066,6.156626506,-0.21686747,7.759036145,1259.624476,-1,51:15.8
1649.084249,6.204819277,-0.21686747,7.722891566,1258.901694,-1,51:15.8
1632.967033,6.204819277,-0.204819277,7.698795181,1259.624476,-1,51:15.8
1620.512821,6.192771084,-0.204819277,7.722891566,1259.624476,-1,51:15.8
1611.721612,6.21686747,-0.192771084,7.710843373,1259.624476,-1,51:15.9
1606.593407,6.192771084,-0.192771084,7.722891566,1259.624476,-1,51:15.9
1602.930403,6.168674699,-0.21686747,7.722891566,1259.624476,-1,51:15.9
1599.267399,6.120481928,-0.240963855,7.710843373,1260.348088,-1,51:15.9
1594.139194,6.108433735,-0.253012048,7.734939759,1260.348088,-1,51:15.9
1591.941392,6.13253012,-0.240963855,7.759036145,1260.348088,-1,51:15.9
1587.545788,6.144578313,-0.253012048,7.746987952,1259.624476,-1,51:15.9
1583.882784,6.13253012,-0.240963855,7.746987952,1259.624476,-1,51:15.9
1575.824176,6.120481928,-0.228915663,7.722891566,1259.624476,-1,51:15.9
1563.369963,6.156626506,-0.21686747,7.722891566,1260.348088,-1,51:15.9
1550.18315,6.180722892,-0.228915663,7.722891566,1260.348088,-1,51:15.9
1535.531136,6.168674699,-0.228915663,7.734939759,1260.348088,-1,51:15.9
1520.14652,6.144578313,-0.180722892,7.734939759,1259.624476,-1,51:15.9
1503.296703,6.156626506,-0.228915663,7.746987952,1260.348088,-1,51:16.0
1484.981685,6.156626506,-0.204819277,7.746987952,1259.624476,-1,51:16.0
1464.468864,6.156626506,-0.204819277,7.734939759,1259.624476,-1,51:16.0
1444.688645,6.180722892,-0.21686747,7.722891566,1260.348088,-1,51:16.0
1421.978022,6.192771084,-0.228915663,7.722891566,1259.624476,-1,51:16.0
1400,6.168674699,-0.21686747,7.710843373,1259.624476,-1,51:16.0
1381.684982,6.156626506,-0.228915663,7.746987952,1260.348088,-1,51:16.0
1364.102564,6.156626506,-0.21686747,7.722891566,1259.624476,-1,51:16.0
1345.787546,6.144578313,-0.21686747,7.734939759,1259.624476,-1,51:16.0
1327.472527,6.144578313,-0.228915663,7.734939759,1259.624476,-1,51:16.0
1310.622711,6.13253012,-0.240963855,7.746987952,1259.624476,-1,51:16.0
1295.238095,6.13253012,-0.228915663,7.734939759,1260.348088,-1,51:16.0
1283.516484,6.156626506,-0.228915663,7.722891566,1260.348088,-1,51:16.0
1274.725275,6.156626506,-0.21686747,7.710843373,1259.624476,-1,51:16.1
1267.399267,6.144578313,-0.21686747,7.734939759,1260.348088,-1,51:16.1
1261.538462,6.180722892,-0.204819277,7.710843373,1260.348088,-1,51:16.1
1256.410256,6.168674699,-0.228915663,7.746987952,1260.348088,-1,51:16.1
1251.282051,6.180722892,-0.240963855,7.746987952,1259.624476,-1,51:16.1
1246.153846,6.156626506,-0.228915663,7.722891566,1260.348088,-1,51:16.1
1241.758242,6.156626506,-0.21686747,7.746987952,1260.348088,-1,51:16.1
1238.827839,6.156626506,-0.204819277,7.722891566,1261.072532,-1,51:16.1
